state loaded in 344s
resume: 1136210 orbits, 31724 expanded, 326 skipped, 1104160 queued; tight range 30..10845; workers 207
queue round 1: 122054 figures (tight 204..124)
tight=37: 37 neighbors, +2 orbits, total 1136212, expanded 31725
tight=36: 36 neighbors, +0 orbits, total 1136212, expanded 31726
tight=34: 33 neighbors, +0 orbits, total 1136212, expanded 31727
tight=34: 33 neighbors, +2 orbits, total 1136214, expanded 31728
tight=32: 31 neighbors, +0 orbits, total 1136214, expanded 31729
tight=35: 35 neighbors, +1 orbits, total 1136215, expanded 31730
tight=34: 51 neighbors, +0 orbits, total 1136215, expanded 31731
tight=35: 55 neighbors, +3 orbits, total 1136218, expanded 31732
tight=50: 46 neighbors, +0 orbits, total 1136218, expanded 31733
tight=38: 38 neighbors, +0 orbits, total 1136218, expanded 31734
tight=38: 35 neighbors, +1 orbits, total 1136219, expanded 31735
tight=37: 47 neighbors, +2 orbits, total 1136221, expanded 31736
tight=33: 33 neighbors, +0 orbits, total 1136221, expanded 31737
tight=34: 60 neighbors, +10 orbits, total 1136231, expanded 31738
tight=39: 51 neighbors, +2 orbits, total 1136233, expanded 31739
tight=34: 33 neighbors, +2 orbits, total 1136235, expanded 31740
tight=35: 57 neighbors, +8 orbits, total 1136243, expanded 31741
tight=37: 71 neighbors, +5 orbits, total 1136248, expanded 31742
tight=38: 94 neighbors, +12 orbits, total 1136260, expanded 31743
tight=39: 65 neighbors, +3 orbits, total 1136263, expanded 31744
tight=45: 106 neighbors, +3 orbits, total 1136266, expanded 31745
tight=36: 94 neighbors, +0 orbits, total 1136266, expanded 31746
tight=35: 88 neighbors, +16 orbits, total 1136282, expanded 31747
tight=44: 83 neighbors, +2 orbits, total 1136284, expanded 31748
tight=41: 61 neighbors, +4 orbits, total 1136288, expanded 31749
tight=45: 43 neighbors, +1 orbits, total 1136289, expanded 31750
tight=44: 61 neighbors, +6 orbits, total 1136295, expanded 31751
tight=42: 51 neighbors, +0 orbits, total 1136295, expanded 31752
tight=46: 62 neighbors, +9 orbits, total 1136304, expanded 31753
tight=41: 70 neighbors, +3 orbits, total 1136307, expanded 31754
tight=44: 82 neighbors, +10 orbits, total 1136317, expanded 31755
tight=43: 69 neighbors, +15 orbits, total 1136332, expanded 31756
tight=38: 100 neighbors, +31 orbits, total 1136363, expanded 31757
tight=42: 58 neighbors, +10 orbits, total 1136373, expanded 31758
tight=45: 52 neighbors, +5 orbits, total 1136378, expanded 31759
tight=45: 69 neighbors, +6 orbits, total 1136384, expanded 31760
tight=47: 46 neighbors, +3 orbits, total 1136387, expanded 31761
